genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0284,0.545,8.08,3.35685841322443,1.824210106,28.9,4.6,1.67029715687726
p0285,0.0343,134.42,1.32761542039086,0.0235811202,33.5,7.9,2.38228475967094
p0286,2.5E-05,440.56,2.10577751654397,2.0663E-06,35.3,7.7,4.62624260298186
p0287,6.37E-07,1799.3,1.08005580619779,2.506E-06,57.4,12.3,3.03675530892563
p0288,0.00861,374.35,1.1373791810245,0.0226661323,33.7,9.1,1.32725309390466
p0289,3.15E-55,1350.1,1.62489665105133,2.0022E-06,36.7,7.1,2.2784994802838
p0290,1.75E-06,1803,1.16515283351746,2.7772E-06,42.6,11.3,2.06397822862823
p0291,7.87E-06,3863.1,1.28669566621571,2.8653E-06,41.8,12.8,3.51443083919119
p0292,0.00183,403.69,1.17249052073188,0.015275848,32.7,10.3,5.8899100153895
p0293,1.06E-71,1318.7,1.28028811525196,2.0916E-06,51.5,10,3.410218739682
p0295,7.63E-66,2050.5,1.1768328389338,2.0059E-06,50.9,13.3,6.16130919491241
p0297,0.158,118.01,1.56375555885128,0.1842916176,30.4,2.7,1.2182198105413
p0298,0.0007,1534,1.1659243537956,2.3295E-06,58.4,12.6,1.78264233616617
p0300,0.00286,408.18,1.13849644006581,2.3829E-06,29.6,8.7,1.20235370068329
p0305,2.69E-67,596.98,1.2849064758093,0.0110838522,34.3,8.7,2.17436641430968
p0306,1.06E-47,1250.8,1.0865638425568,2.8556E-06,55.7,12.3,2.07649008658726
p0307,5.65E-42,1538.7,1.38330004712781,0.0052433869,60,13.9,7.52978147874482
p0308,0.0493,165.72,1.43492736033474,2.1493E-06,21.6,5.6,1.74651579870267
p0312,1.86E-62,485.66,1.34103097584695,0.0337648042,29.4,4.3,1.86799597489663
p0313,0.683,44.272,3.93448041740709,0.5482696285,24.9,3.1,1.61008749166424
p0314,7.90999999999999E-110,432.06,1.3062075519036,0.0100600264,29.8,6.8,1.82852486943975
p0316,9.61E-31,794.85,1.73094888519714,2.5363E-06,25.5,8.6,1.87766217664796
p0317,0.000792,331.46,1.71812193265741,2.53E-06,35.2,6.2,1.40322345715371
p0318,1.04E-10,1069.5,1.20841273637166,0.0036381907,39.3,8.5,4.99200476522656
p0319,0.000602,403.66,2.23654239021796,2.9006E-06,33.4,9.8,1.83230241309673
p0320,4.22E-07,717.4,1.18460824980084,2.8149E-06,47,13.2,2.54444722833722
p0321,3.1E-54,1000.6,1.21868752558059,2.4284E-06,39,9,1.91249703679071
p0323,0.0037,476.62,1.19589127878222,0.0117928915,35.9,12.8,1.16271529157545
p0325,6.55E-09,1387.1,1.05377023371211,2.2289E-06,65.4,21,2.31237349234396
p0326,1.51E-06,438.36,1.30234491185491,0.0395434777,34,10.5,1.57170485330117
p0327,0.386,34.067,5.06217541072582,0.5097037342,23.7,2.7,2.00064679079165
p0328,1.55E-06,675.65,1.32304742402208,2.0573E-06,33,8.6,6.0395072661758
p0330,0.0559,208.05,5.53549728389046,0.0034100193,34.9,7.6,1.9405762445396
p0332,9.58E-64,2028.9,1.12123528557072,0.0075595877,38.3,9.3,1.66762123409188
p0333,2.07E-07,519.75,1.72102056976659,2.1663E-06,33.7,9.5,5.60198109023888
p0334,2.01E-06,1931.4,1.06790239067822,2.5089E-06,64.2,20.2,3.2647331654605
p0337,4.08E-05,431.66,1.79152665667735,2.8985E-06,42.1,7.6,1.97252428552287
p0338,7.84E-35,1437.1,1.0888426440365,2.2096E-06,56,10.1,2.33090006805484
p0339,0.169,65.749,1.71641563546374,0.0053928366,24.9,5.6,1.72807378352677
p0340,0.000313,1403.4,1.5055103560535,0.0733833581,45,12.2,2.63507871895572
p0341,2.55E-41,756.67,2.47897879188505,2.1212E-06,45.5,8,2.06382365682932
p0343,0.00217,1314.3,1.32210799467891,0.0403607325,38.4,9.3,4.92234094235216
p0344,0.776,86.724,2.7041939991238,0.0587030954,19.3,2.6,2.96261482126945
p0346,0.322,59.349,3.88591891539491,0.0134809943,45.3,5.6,1.97938729782628
p0347,2.78E-12,1360.5,1.81644184186678,2.6655E-06,61.2,14.6,3.12853140230785
p0348,0.574,13.696,1.34924917062707,2.419E-06,15,3,1.32298008805052
p0350,2.85E-48,2245.8,1.24768571418229,2.1111E-06,59,16.4,2.22825568601114
p0351,1.77E-20,1141.3,1.04612967112863,0.0155059781,68.5,16,1.9474021608935
p0352,1.04E-29,1667.2,1.41362624629636,2.665E-06,37.6,8.2,2.13775255678429
p0355,1.36E-59,700.29,4.52693293741466,0.0003683541,36.5,6.7,2.75432404063707
p0357,7.98E-11,863.35,1.24790391030433,2.9174E-06,34.4,7.4,2.52773177752413
p0358,0.00018,517.14,3.95153170675064,0.0201681155,48.6,18.1,7.16350823225326
p0360,3.74E-06,705.71,1.59764500457932,2.5734E-06,53.8,10,5.25480701798197
p0361,0.000117,529,1.05065662713025,2.8473E-06,51,14.1,6.18668226221348
p0362,1.96E-43,1839.9,1.11011341004027,2.9231E-06,55.2,21.1,2.14105191467123
p0364,5.28E-99,1895.8,1.05550387210468,2.2769E-06,60.9,17.6,1.81991472807828
p0365,0.00672,318.09,2.89115282736255,2.6818E-06,38.3,8.2,1.4519152355779
p0366,0.000123,333.02,1.26328171913897,2.6886E-06,38.2,6.6,5.19551029417719
p0367,1.93E-44,832.18,1.13101321654397,2.058E-06,42.1,13.4,1.95635659392263
p0368,1.61E-08,641.74,1.43867409968504,0.0049399745,35.3,5,5.3099512974944
p0371,5.11E-05,1027.4,1.17116374786514,2.8983E-06,63.6,15.2,2.23860536916993
p0372,7.53E-06,276.83,2.79834842001767,0.0727265013,46.4,8.3,2.6864419879192
p0373,5.75E-12,351.08,1.40329746142275,2.2187E-06,38.3,5.9,1.80232906767994
p0375,2.88E-06,1598.3,1.07574658022497,2.6069E-06,55.9,14.1,2.79185625679204
p0376,0.095,235.06,1.2858604253525,2.7718E-06,44.3,11.3,1.40235010061869
p0377,0.00148,269.34,1.05488818914239,0.0039762294,36.9,9.2,1.04985999539542
p0379,0.0849,99.169,1.65973680700435,0.0167243236,22.6,8.4,1.23549626012289
p0380,2.22E-05,749.61,1.10999236453533,2.3673E-06,38.1,10.1,1.8652198972183
p0381,2.26E-62,1083.8,1.01752040124772,2.4506E-06,47.9,9.8,2.9043490803804
p0382,4.94E-39,1835.6,1.12279274947083,0.0028074166,65.2,15.2,2.05317285955424
p0383,0.332,31.112,1.2426853695996,2.6204E-06,35.1,6.5,0.845583073482154
